"Stichtagdatjahr","DatenstandCd","HAArtLevel1Sort","HAArtLevel1Cd","HAArtLevel1Lang","HASTWESort","HASTWECd","HASTWELang","RaumSort","RaumCd","RaumLang","AnzHA","HAPreisWohnflaeche","HAMedianPreis","HASumPreis"
2013,"D",1,"22","Kauf",1,"J","Ja",73,"073","Hirslanden","7",21286,2172700,13887700
2013,"D",1,"22","Kauf",1,"J","Ja",74,"074","Witikon","12",9092,800000,13300000
2013,"D",1,"22","Kauf",1,"J","Ja",80,"8","Kreis 8","25-35",14399,1695000,46417368
2013,"D",1,"22","Kauf",1,"J","Ja",81,"081","Seefeld","3-9",20667,1550000,5900000
2013,"D",1,"22","Kauf",1,"J","Ja",82,"082","Mühlebach","15",14063,2275000,29817368
2013,"D",1,"22","Kauf",1,"J","Ja",83,"083","Weinegg","7–9",12222,1400000,10700000
2013,"D",1,"22","Kauf",1,"J","Ja",90,"9","Kreis 9","21",8247,790000,18865000
2013,"D",1,"22","Kauf",1,"J","Ja",91,"091","Albisrieden","12",7191,665000,8910000
2013,"D",1,"22","Kauf",1,"J","Ja",92,"092","Altstetten","9",8522,940000,9955000
2013,"D",1,"22","Kauf",1,"J","Ja",100,"10","Kreis 10","57",11468,1289000,73242430
2013,"D",1,"22","Kauf",1,"J","Ja",101,"101","Höngg","21",10000,1000000,21484430
2013,"D",1,"22","Kauf",1,"J","Ja",102,"102","Wipkingen","36",11797,1369000,51758000
2013,"D",1,"22","Kauf",1,"J","Ja",110,"11","Kreis 11","89",9016,750000,74145158
2013,"D",1,"22","Kauf",1,"J","Ja",111,"111","Affoltern","12",7843,560000,8964000
2013,"D",1,"22","Kauf",1,"J","Ja",115,"115","Oerlikon","48",10457,887500,43552000
2013,"D",1,"22","Kauf",1,"J","Ja",119,"119","Seebach","29",7362,750790,21629158
2013,"D",1,"22","Kauf",1,"J","Ja",120,"12","Kreis 12","26",7361,934000,23546500
2013,"D",1,"22","Kauf",1,"J","Ja",121,"121","Saatlen","1-3",6118,930000,930000
2013,"D",1,"22","Kauf",1,"J","Ja",122,"122","Schwamendingen-Mitte","23",7375,946000,21501500
2013,"D",1,"22","Kauf",1,"J","Ja",123,"123","Hirzenbach","2-6",6107,557500,1115000
2014,"D",1,"22","Kauf",1,"J","Ja",0,"0","Ganze Stadt","678",11013,1065000,816273440
2014,"D",1,"22","Kauf",1,"J","Ja",10,"1","Kreis 1","4",17995,1800175,6180000
2014,"D",1,"22","Kauf",1,"J","Ja",11,"011","Rathaus","0",,,
2014,"D",1,"22","Kauf",1,"J","Ja",12,"012","Hochschulen","0",,,
2014,"D",1,"22","Kauf",1,"J","Ja",13,"013","Lindenhof","4",17995,1800175,6180000
2014,"D",1,"22","Kauf",1,"J","Ja",14,"014","City","0",,,
2014,"D",1,"22","Kauf",1,"J","Ja",20,"2","Kreis 2","18",10846,1322500,22843560
2014,"D",1,"22","Kauf",1,"J","Ja",21,"021","Wollishofen","11",10970,1275000,13765798
2014,"D",1,"22","Kauf",1,"J","Ja",23,"023","Leimbach","1–3",8548,645000,K
2014,"D",1,"22","Kauf",1,"J","Ja",24,"024","Enge","4–6",11402,1670000,7787762
2014,"D",1,"22","Kauf",1,"J","Ja",30,"3","Kreis 3","20",9117,833551,17006576
2014,"D",1,"22","Kauf",1,"J","Ja",31,"031","Alt-Wiedikon","14",9117,807117,10216974
2014,"D",1,"22","Kauf",1,"J","Ja",33,"033","Friesenberg","1-3",6019,620000,620000
2014,"D",1,"22","Kauf",1,"J","Ja",34,"034","Sihlfeld","3–5",16071,900000,6169603
2014,"D",1,"22","Kauf",1,"J","Ja",40,"4","Kreis 4","29",10000,690000,23260000
2014,"D",1,"22","Kauf",1,"J","Ja",41,"041","Werd","1–3",9562,1097500,K
2014,"D",1,"22","Kauf",1,"J","Ja",42,"042","Langstrasse","20",10233,752500,19070000
2014,"D",1,"22","Kauf",1,"J","Ja",44,"044","Hard","6–8",6207,180000,1995000
2014,"D",1,"22","Kauf",1,"J","Ja",50,"5","Kreis 5","212",12168,1150000,266441685
2014,"D",1,"22","Kauf",1,"J","Ja",51,"051","Gewerbeschule","0",,,
2014,"D",1,"22","Kauf",1,"J","Ja",52,"052","Escher Wyss","212",12168,1150000,266441685
2014,"D",1,"22","Kauf",1,"J","Ja",60,"6","Kreis 6","20-25",11056,912438,29909300
2014,"D",1,"22","Kauf",1,"J","Ja",61,"061","Unterstrass","13",10400,1110000,15438000
2014,"D",1,"22","Kauf",1,"J","Ja",63,"063","Oberstrass","12",12664,844719,14471300
2014,"D",1,"22","Kauf",1,"J","Ja",70,"7","Kreis 7","98",13549,1710000,178511967
2014,"D",1,"22","Kauf",1,"J","Ja",71,"071","Fluntern","36",15148,2192500,84335500
2014,"D",1,"22","Kauf",1,"J","Ja",72,"072","Hottingen","19",12182,1300000,30462793
2014,"D",1,"22","Kauf",1,"J","Ja",73,"073","Hirslanden","5",15000,1500000,8010000
2014,"D",1,"22","Kauf",1,"J","Ja",74,"074","Witikon","38",11189,1497500,55703674
2014,"D",1,"22","Kauf",1,"J","Ja",80,"8","Kreis 8","27",13722,1600000,48030000
2014,"D",1,"22","Kauf",1,"J","Ja",81,"081","Seefeld","5",14316,1360000,7965000
2014,"D",1,"22","Kauf",1,"J","Ja",82,"082","Mühlebach","8",13989,1267500,13025000
2014,"D",1,"22","Kauf",1,"J","Ja",83,"083","Weinegg","14",13557,1625000,27040000
2014,"D",1,"22","Kauf",1,"J","Ja",90,"9","Kreis 9","63",10291,910000,61772467
